Date,Wesley,Eli
7,9.23,11.33
8,13.36,12.17
9,14.20,14.88
10,16.23,17.08
11,18.60,18.43
12,19.44,20.29
13,16.91,17.41
14,19.61,20.46
15,18.77,22.99
16,24.35,20.96
17,24.01,27.05
18,23.84,25.36
19,30.60,24.18
20,26.5,23
21,29,26
22,29.5,25
23,27,26.5
24,28.5,29
25,35,27
26,25,26
27,34,30.5
28,34.5,30
1,36,31
2,37,33
3,37,33
4,34,30
5,43,30
6,40,34
7,36,31
8,36,31
9,44,41
10,38,29
11,40,31
12,43,35
13,41,41
14,37,39
15,42,42
16,41,38
17,33,35
18,45,32
19,35,33
20,37,23
21,39,33
22,38,36
23,35,36
24,40,32
25,34,30
26,32,34
27,36,38
28,34,34
29,33,32
30,37,34
1,38,37
2,32,31
3,36,34
4,30,30
5,32,28
6,30,32
7,37,32
8,36,27
9,31,31
10,39,29
